dimensionality_reduction,n_dimensions,n_layers,n_neurons,optimizer_type,learning_rate,epochs,accuracy
umap,50,2,20,sgd,0.01,5,0.047599997371435165
umap,25,1,20,sgd,0.01,5,0.047599997371435165
umap,10,2,50,sgd,0.01,5,0.047599997371435165
umap,10,1,20,adam,0.001,5,0.047599997371435165
umap,50,1,20,adam,0.01,5,0.047599997371435165
umap,10,1,50,sgd,0.001,10,0.047599997371435165
pca,10,1,20,sgd,0.01,10,0.047599997371435165
umap,25,2,20,sgd,0.01,5,0.047599997371435165
umap,50,2,50,adam,0.001,5,0.047199998050928116
pca,10,2,50,adam,0.001,5,0.047199998050928116
pca,25,2,20,sgd,0.001,20,0.047199998050928116
pca,10,1,20,adam,0.001,20,0.04699999839067459
pca,10,1,20,adam,0.01,20,0.046799998730421066
pca,50,1,20,sgd,0.001,5,0.04639999940991402
pca,25,2,20,adam,0.001,5,0.04600000008940697
umap,25,1,50,adam,0.001,5,0.04559999704360962
pca,50,2,50,sgd,0.01,10,0.044999998062849045
pca,50,1,50,adam,0.01,5,0.044599998742341995
pca,50,1,50,adam,0.01,20,0.04399999976158142
pca,10,1,50,adam,0.01,20,0.04339999705553055
umap,25,2,20,sgd,0.001,10,0.042399998754262924
pca,10,1,50,adam,0.001,10,0.041999999433755875
pca,25,1,50,sgd,0.001,10,0.04179999977350235
umap,50,2,20,sgd,0.001,20,0.04079999774694443
umap,10,1,50,adam,0.001,5,0.04079999774694443
pca,10,1,20,adam,0.001,5,0.04079999774694443
umap,10,2,20,adam,0.001,10,0.04079999774694443
umap,25,2,20,adam,0.001,10,0.04079999774694443
pca,10,2,20,sgd,0.01,10,0.04079999774694443
umap,10,2,20,adam,0.001,5,0.04079999774694443
umap,25,1,50,sgd,0.001,20,0.04079999774694443
umap,50,1,50,adam,0.01,5,0.04079999774694443
pca,50,2,20,adam,0.001,5,0.04079999774694443
pca,25,2,20,adam,0.01,10,0.04039999842643738
pca,50,2,20,adam,0.01,5,0.03999999910593033
pca,10,2,20,adam,0.01,20,0.03999999910593033
pca,10,1,20,sgd,0.001,20,0.039799999445676804
umap,25,1,20,adam,0.001,20,0.039799999445676804
umap,10,2,50,adam,0.001,5,0.039799999445676804
umap,25,1,50,sgd,0.001,5,0.039799999445676804
umap,10,2,50,adam,0.001,10,0.039799999445676804
pca,50,2,50,adam,0.001,20,0.039799999445676804
umap,25,2,50,adam,0.01,5,0.039799999445676804
pca,10,2,50,sgd,0.01,10,0.039799999445676804
pca,50,2,50,adam,0.01,5,0.039799999445676804
umap,25,2,20,sgd,0.001,5,0.039799999445676804
umap,25,2,50,adam,0.001,5,0.039799999445676804
umap,50,1,20,sgd,0.01,20,0.039799999445676804
pca,10,2,20,adam,0.01,5,0.039799999445676804
pca,25,1,50,sgd,0.001,20,0.039400000125169754
pca,10,2,50,adam,0.001,10,0.03759999945759773
pca,25,1,20,sgd,0.001,5,0.03659999743103981
