dimensionality_reduction,n_dimensions,balancing_technique,n_layers,n_neurons,optimizer_type,learning_rate,epochs,valid_accuracy,valid_loss,train_accuracy,train_loss
none,1,none,0,50,adam,0.1,80,0.2717999815940857,2.491025686264038,0.293622225522995,2.346195936203003
none,1,oversample,0,10,adam,0.1,80,0.27379998564720154,2.491093158721924,0.29428890347480774,2.345808267593384
none,1,undersample,0,50,adam,0.1,80,0.27379998564720154,2.4911997318267822,0.29339998960494995,2.346256971359253
none,1,undersample,0,100,adam,0.1,80,0.27239999175071716,2.4912924766540527,0.29386666417121887,2.346285820007324
none,1,undersample,0,10,adam,0.1,80,0.27320000529289246,2.491548776626587,0.2939111292362213,2.346018075942993
none,1,none,0,100,adam,0.1,80,0.27320000529289246,2.491624116897583,0.2940444350242615,2.3460161685943604
none,1,undersample,1,100,adam,0.001,175,0.2669999897480011,2.4924075603485107,0.28111112117767334,2.4329118728637695
none,1,undersample,1,50,adam,0.01,80,0.27140000462532043,2.4925074577331543,0.2823333442211151,2.418997287750244
none,1,undersample,0,10,adam,0.1,100,0.2735999822616577,2.4929754734039307,0.29571110010147095,2.3412716388702393
none,1,undersample,0,100,adam,0.1,100,0.2735999822616577,2.4934284687042236,0.2953999936580658,2.341057300567627
none,1,undersample,0,50,adam,0.1,100,0.27300000190734863,2.4938321113586426,0.29553332924842834,2.341082811355591
none,1,oversample,0,50,adam,0.1,100,0.27300000190734863,2.494079113006592,0.29580000042915344,2.340989112854004
none,1,oversample,2,50,adam,0.01,125,0.27300000190734863,2.494136095046997,0.2962000072002411,2.3757431507110596
none,1,none,0,10,adam,0.1,100,0.2733999788761139,2.4941651821136475,0.2957555651664734,2.3411388397216797
none,1,oversample,0,100,adam,0.1,100,0.2735999822616577,2.4942784309387207,0.29535555839538574,2.3413169384002686
none,1,none,0,50,adam,0.1,100,0.27399998903274536,2.4942967891693115,0.29528889060020447,2.341087818145752
none,1,undersample,0,50,adam,0.01,125,0.2680000066757202,2.4943628311157227,0.27586665749549866,2.4192540645599365
