dimensionality_reduction,n_dimensions,balancing_technique,n_layers,n_neurons,optimizer_type,learning_rate,epochs,valid_accuracy,valid_loss,train_accuracy,train_loss
none,1,oversample,0,50,adam,0.001,125,0.21119999885559082,2.7534871101379395,0.20453333854675293,2.7404308319091797
none,1,undersample,0,10,adam,0.001,125,0.21119999885559082,2.7535181045532227,0.20453333854675293,2.740455150604248
none,1,undersample,0,100,adam,0.1,100,0.21119999885559082,2.753542900085449,0.20453333854675293,2.738781213760376
none,1,undersample,0,10,adam,0.1,100,0.21119999885559082,2.753598928451538,0.20453333854675293,2.7388343811035156
none,1,oversample,0,10,adam,0.1,100,0.21119999885559082,2.7536144256591797,0.20453333854675293,2.738694190979004
none,1,undersample,0,50,adam,0.001,125,0.21119999885559082,2.7536425590515137,0.20453333854675293,2.740391731262207
none,1,oversample,0,100,adam,0.001,125,0.21119999885559082,2.753675937652588,0.20453333854675293,2.7403922080993652
none,1,none,0,50,adam,0.001,125,0.21119999885559082,2.7536778450012207,0.20453333854675293,2.7403855323791504
none,1,none,2,10,adam,0.001,200,0.21119999885559082,2.7537145614624023,0.20453333854675293,2.7407119274139404
none,1,oversample,1,10,adam,0.001,150,0.21119999885559082,2.753861427307129,0.20453333854675293,2.740562915802002
none,1,none,0,100,adam,0.01,200,0.21119999885559082,2.753875494003296,0.20453333854675293,2.73921799659729
none,1,undersample,0,100,adam,0.01,200,0.21119999885559082,2.753878593444824,0.20453333854675293,2.739236354827881
none,1,undersample,2,10,adam,0.001,175,0.21119999885559082,2.7539403438568115,0.20453333854675293,2.7408344745635986
none,1,none,0,10,adam,0.01,200,0.21119999885559082,2.753951072692871,0.20453333854675293,2.739291191101074
none,1,oversample,0,50,adam,0.01,200,0.21119999885559082,2.7539565563201904,0.20453333854675293,2.739326238632202
none,1,oversample,0,100,adam,0.01,200,0.21119999885559082,2.753988265991211,0.20453333854675293,2.7393276691436768
none,1,oversample,0,10,adam,0.01,200,0.21119999885559082,2.7539961338043213,0.20453333854675293,2.739315986633301
none,1,none,3,10,adam,0.001,175,0.21119999885559082,2.753998279571533,0.20453333854675293,2.7405221462249756
none,1,undersample,1,50,adam,0.001,80,0.21119999885559082,2.754023551940918,0.20453333854675293,2.7408955097198486
none,1,undersample,0,50,adam,0.001,150,0.21119999885559082,2.754025459289551,0.20453333854675293,2.740333080291748
none,1,undersample,0,50,adam,0.01,200,0.21119999885559082,2.7540273666381836,0.20453333854675293,2.739366292953491
none,1,undersample,0,50,adam,0.01,175,0.21119999885559082,2.7540283203125,0.20453333854675293,2.7394049167633057
none,1,none,0,50,adam,0.01,200,0.21119999885559082,2.7540345191955566,0.20453333854675293,2.7393434047698975
none,1,undersample,0,10,adam,0.01,200,0.21119999885559082,2.7540600299835205,0.20453333854675293,2.739344358444214
none,1,oversample,0,50,adam,0.1,100,0.21119999885559082,2.7540605068206787,0.20453333854675293,2.7387280464172363
none,1,none,0,50,adam,0.01,175,0.21119999885559082,2.754061698913574,0.20453333854675293,2.7394492626190186
none,1,undersample,0,10,adam,0.01,175,0.21119999885559082,2.7540667057037354,0.20453333854675293,2.7394368648529053
none,1,undersample,0,100,adam,0.01,175,0.21119999885559082,2.7540667057037354,0.20453333854675293,2.7394022941589355
none,1,none,0,10,adam,0.001,150,0.21119999885559082,2.7541184425354004,0.20453333854675293,2.7403321266174316
none,1,oversample,0,10,adam,0.01,175,0.21119999885559082,2.754127264022827,0.20453333854675293,2.739459753036499
none,1,none,0,10,adam,0.01,175,0.21119999885559082,2.7541391849517822,0.20453333854675293,2.7394797801971436
